type,removal
E1,65.83
E1,72.09
E1,69.13
E1,68.69
E1,65.86
E1,67.38
E1,72.81
E1,65.58
E1,67.1
E1,69.59
E1,66.18
E1,68.68
E1,66
E1,63.08
E1,61.76
E1,67.78
E1,72.37
E1,75.15
E1,79.75
E1,79.59
E1,87.25
E1,70.88
E1,81.98
E1,74.04
E1,68.41
E1,69.35
E1,67.29
E1,75.01
E1,76.61
E1,73.11
E1,70.84
E1,68.25
E1,68.94
E1,74.75
E1,72.74
E1,74.24
E1,76
E1,80.95
E1,76.35
E1,73.4
E1,73.97
E1,77.71
E2,71.84
E2,69.9
E2,64.14
E2,58.43
E2,73.31
E2,56.84
E2,65.52
E2,70.97
E2,62.5
E2,66.28
E2,70.1
E2,66.4
E2,61.36
E2,65.52
E2,50.98
E2,52.78
E2,62.55
E2,66.67
E2,74.75
E2,66.67
E2,78.58
E2,81.87
E2,76
E2,64.68
E2,63.68
E2,70.96
E2,67.28
E2,75.91
E2,69.28
E2,74.91
E2,65.53
E2,67.86
E2,71.28
E2,76.7
E2,67.82
E2,65.33
E2,82.63
E2,66
E2,64.67
E2,73.38
E2,68.57
E2,73
EE2,82.57
EE2,78.97
EE2,84.45
EE2,80.06
EE2,86.9
EE2,66.33
EE2,79.41
EE2,80.14
EE2,78.17
EE2,77.73
EE2,81.4
EE2,80.06
EE2,83.38
EE2,81.25
EE2,68.61
EE2,77.98
EE2,81.22
EE2,79.36
EE2,69.76
EE2,89.98
EE2,90.25
EE2,85.04
EE2,81.07
EE2,82.99
EE2,80.45
EE2,78
EE2,79.82
EE2,79.08
EE2,83.73
EE2,78.43
EE2,79.67
EE2,81.25
EE2,80.52
EE2,78.53
EE2,82.85
EE2,78.9
EE2,83.25
EE2,81.74
EE2,82.57
EE2,81.69
EE2,82.32
EE2,78.06
